ID,Label,Original Comment,Lemmatized Comment
01JKGH8WD8YAG0CZCM9K5K4T7B,0,Mihajlin spe don populli pe don Hikmete Bajramin te LDK se ✌️✌️✌️,mihajlin spe don populli pe don hikmete bajramin te ldk se ✌️✌️✌️
01JJ813D3RE7MFEG2JG3SNK8GC,2,Ju ka cof dhija juve vv-cs o ashkali,ju ka cof dhija juve vv-cs o ashkali
01JMWCAJ00NZM1W6K16JDJ9S9Q,0,Çka tja bajsh dikujt një ma teper kan me ta ba.,çka tja bajsh dikujt një ma teper kan me ta ba.
01JKH1HNEG0K7PPTY21SGKE88D,0,118,118
01JJWVMAG8FSX0QEB6127PVGQY,0,"Cfare terme gjene ky gjeniu i vonuar hahahahahaha

Garant w ka idol amo parja e bon te veten ska kthim mbrapa per pronto pionir e Titos ",cfare terme gjene ky gjeniu i vonuar hahahahahaha garant w ka idol amo parja e bon te veten ska kthim mbrapa per pronto pionir e titos
01JNTVHWRGVYYSMZ9HY6G03NYC,2,Pa tjeter me leshuhe edhe pa tjeter meja moren donjanes partij ngoj se karikja osht enxet edhe tenderat jan temir per hajni ipari osht ki,pa tjeter me leshuhe edhe pa tjeter meja moren donjanes partij ngoj se karikja osht enxet edhe tenderat jan temir per hajni ipari osht ki
01JHJWRA0G68J8PV6CKZRWHKM2,0,pasha zoten krej shqiptaret ane mban botes u patem habit kur e rrxut qev kurti1 dhe rrakiqin e bet zv kr minister t par ne qeveri dulla me at koalicionin e famshem koalicionin e gjer me vota t lis serbe e rrxut vv po me lis serbe bet qeveri  kjo esht me shum se marre more shikonu n pasqyre naj her spo ju don populli mo pik!,pasha zoten krej shqiptaret ane mban botes u patem habit kur e rrxut qev kurti1 dhe rrakiqin e bet zv kr minister t par ne qeveri dulla me at koalicionin e famshem koalicionin e gjer me vota t lis serbe e rrxut vv po me lis serbe bet qeveri kjo esht me shum se marre more shikonu n pasqyre naj her spo ju don populli mo pik!
01JJAPDN90TPKZXP17EDA8JE5N,2,"o folliranti vogel o nipi isa mustves sje ne 2006  kqyre qka i bot prishtines , keni ble villa ne lagje qershi vidhet za vidhet","o folliranti vogel o nipi isa mustves sje ne 2006 kqyre qka i bot prishtines , keni ble villa ne lagje qershi vidhet za vidhet"
01JHQTHD9RS66KPKAKRFT471G0,1,Bravo bac,bravo bac
01JKEKA640JYA887S25HJMV4NB,2,Me te verte aty vjen era e rend se ke shkue ti e per qata vjen era,"me të vërtetë aty vjen erë e rëndë, se ke shkuar ti, dhe për këtë arsye vjen era"
01JMPAQYERAKBCDSEZJ4NQEM69,1,Bravo!,bravo!
01JJD9NZ30QA99FXNCTBVDD531,0,Me bashku 1 me 18 del 118❤❤❤,me bashku 1 me 18 del 118❤❤❤
01JMM0YG1RB2PVPGQVWCXFQ06F,0,Vallahi  rrall fol po ja qellon  j,vallahi rrall fol po ia qellon j
01JHTA16NGGC7CPBH2H0STK166,2,aekevet sami kriminelin more se mas pot bertet,aekevet sami kriminelin more se mas pot bertet
01JJKQ72VRQE493CD262YM72V4,2,Ju jeni kta mor lut belaja. ,ju jeni kta mor lut belaja.
01JNPFS7RGE574CCP9SPFM1JCE,2,Haaaaa ky eshte veq fillimi plasni hajvanat,haaaaa ky eshte veç fillimi plasni hajvanat
01JHRVVZ60D1VA3C74VMQSDW1S,2,Pergjigja e kurtit  vdis  e nuk te duhen as ato 100   po a nga mashtrusi po prit diqka a,pergjigja e kurtit vdis e nuk te duhen as ato 100 po a nga mashtrusi po prit diqka a
01JHHWWYW02P64RC4VTQGYV796,2,Kjo qeveri aktuale ne krye me albin serbin ska dit gja tjeter veq mashtrime e hajni se per shtet ska dit me punu po me 9 shkurt ja kallxojm venin,kjo qeveri aktuale ne krye me albin serbin ska dit gja tjeter veç mashtrime e hajni se per shtet ska dit me punu po me 9 shkurt ia kallxojm venin
01JKXZAEH0AMX273VTAXYPXZCK,2,Sami hajni,sami hajni
01JMAMPSRGBK88M4F8BNCD1Y5F,0,Medet...sa shume ju ra syni keq...s'kishte bere kurre vaki qe Kosova me e vonu kaq shume shpalljen e rezultatit te zgjedhjeve...kush ju mesoi more aman me keto metoda....,medet...sa shume ju ra syni keq...s'kishte bere kurre vaki qe kosova me e vonu kaq shume shpalljen e rezultatit te zgjedhjeve...kush ju mesoi more aman me keto metoda....
01JKKCF55RFQRMAFDVNX3810ZJ,0,PDK❤️,pdk❤️
01JJVZBQ7R0Q37C1SBJMECE29C,2,O rrens kto kontrata i ki prej qeverive te kaluara  kush ta krijoj ushtrine policin qe ti i le pa buk e gjuajte me gurë  o hajn veq delet te besojn ty,o rrens kto kontrata i ki prej qeverive te kaluara kush ta krijoj ushtrine policin qe ti i le pa buk e gjuajte me gurë o hajn veç delet te besojn ty
01JN25J3MGBQDM8QJX96BQ53B8,2,Kjo i bie se ti nuk paske shku në shkollë,kjo i bie se ti nuk paske shku në shkollë
01JHZZ3REGS33AKZFGK4SGWAFH,2,"Dreqi plakë je kan gjith'her, marre, marre, marre per ty....","dreqi plakë je kan gjith'her, marre, marre, marre per ty...."
01JK4A91G8YXZ1A6V0BAH40MKT,2,"Kurr se kem pa Albin Kurtin kaq te qet, kaq me buzqeshje, kaq i relaksum dhe kaq i permbajtur.
O mjerana, ju e keni frigen se jeni ka u tranoheni, kjo show e juaja qe po brohoritni se kinse jeni fitus o i vetmi qellim qe deshtimin me minimizu sa ma shum e mundshme qe mos te bjerni ne perqindjen e Ramushit qe e kishte dhe Ramushi te njejten frig e ka qe vetem ta kaloj pragun.

Ani Rugovista hahahahah nje kostum me kravat nuk ju ban Rugovista o legena...","kurrë s’e kemi parë albin kurtin kaq të qetë, kaq me buzëqeshje, kaq i relaksuar dhe kaq i përmbajtur.
o të mjerë, ju e keni frikën sepse jeni duke u tronditur. kjo shfaqje e juaja që po brohoritni si kinse jeni fitues, është i vetmi qëllim për ta minimizuar dështimin sa më shumë e mundur, që të mos bini në përqindjen e ramushit që e kishte — dhe ramushi të njëjtën frikë e ka, që vetëm ta kalojë pragun.
ani rugovistë hahahah një kostum me kravat nuk ju bën rugovistë, o legena…"
01JN190H8G1GTWTKNX48WNYSZS,2,Euu ku Xhaxhi Enver edhe Femijet i infektut me Politik he robt jau ….,euu ku xhaxhi enver edhe femijet i infektut me politik he robt jau ….
01JKJMVS9RQV6NWHASAWF7Q4TA,0,Mas 12 ti ki mu kon pjese e kuvendit,mas 12 ti ki mu kon pjese e kuvendit
01JN1STE50QY6RT8M96WNNW957,0,kta jan deg e pdk se e jo veteranve,kta jan deg e pdk se e jo veteranve
01JKC457E010DXNRSDJ2BSZD7K,2,E mori hajne e pa shkollume qaq din ti,"e mori hajni i pa shkolluar, aq di ti"
01JK5TZHJG3SZRRHR7QY7AY2EH,2,Ideal për hajni! #baju,ideal për hajni! #baju
01JMCJ9VZG0NQ5XY2CABZQPB2R,2,Sistem i gabuar zgjedhorè.,sistem i gabuar zgjedhorè.
01JNM062Z80WJCDFQ2CTDW3EGF,2,LDK esht e pa  Ftyr ska ma hajna se kta  te LDK-s hiq,ldk esht e pa ftyr ska ma hajna se kta te ldk-s hiq
01JJ8208Y8A7S5Y6M3F9Q1XBP8,2,Me te vertet je i padurushem eke ba emisionin cirk tmerr,me te vertet je i padurushem eke ba emisionin cirk tmerr
01JJC3GVWRJ61QCM721R86Q12R,0,"Përshëndetje, jam nga kosova, jam shumë i lumtur të tregoj fjalë se si ma shpëtoi martesën ky njeri i madh shpirtëror i quajtur shefi Joel zgjidhja e shtëpisë.      Gjithçka po i vjen fundi pasi burri im nuk mund të ndalojë së më tradhtuari me femra të tjera.      Ai ishte mësuar të ishte gjithmonë i zemëruar me mua.      U përpoqa ta ndaloja por nuk munda, sa më shumë që përpiqesha ta ndaloja por nuk munda, aq më shumë nuk do të ishte aq shumë.      Anëtarët do të luftojnë dhe do të ndahen për disa javë dhe do të kthehen vetëm për shkak të fëmijëve tanë.      Një ditë një mik më tregoi për këtë shtrigë që e ka ndihmuar edhe atë, ai quhet Shefi Joel, ajo përdor magjinë e bardhë për problemet shpirtërore.      Vendosa ta provoj, kontaktova me të dhe më tha se do të duhen vetëm 1 deri në 2 ditë dhe do të shoh ndryshime të mëdha tek burri im.      Në fakt ai bëri një magji, më besoni pas 1-3 ditësh të magjisë, im shoq po rrëfente emra të ndryshëm të gruas me të cilën flinte.      Ai u lut për falje dhe të mos e provonte më kurrë.      Nga ajo ditë e deri më tani, mendja është e qetë.      Burri im nuk i pëlqen asnjë grua tjetër në tokë.    përveç meje Dhe jam shumë e lumtur që i kam të gjitha për vete.      Kontaktoni me mesazh ne faqen e tij https://www.facebook.com/Chiefjoel1","përshëndetje, jam nga kosova, jam shumë i lumtur të tregoj fjalë se si ma shpëtoi martesën ky njeri i madh shpirtëror i quajtur shefi joel zgjidhja e shtëpisë. gjithçka po i vjen fundi pasi burri im nuk mund të ndalojë së më tradhtuari me femra të tjera. ai ishte mësuar të ishte gjithmonë i zemëruar me mua. u përpoqa ta ndaloja por nuk munda, sa më shumë që përpiqesha ta ndaloja por nuk munda, aq më shumë nuk do të ishte aq shumë. anëtarët do të luftojnë dhe do të ndahen për disa javë dhe do të kthehen vetëm për shkak të fëmijëve tanë. një ditë një mik më tregoi për këtë shtrigë që e ka ndihmuar edhe atë, ai quhet shefi joel, ajo përdor magjinë e bardhë për problemet shpirtërore. vendosa ta provoj, kontaktova me të dhe më tha se do të duhen vetëm 1 deri në 2 ditë dhe do të shoh ndryshime të mëdha tek burri im. në fakt ai bëri një magji, më besoni pas 1-3 ditësh të magjisë, im shoq po rrëfente emra të ndryshëm të gruas me të cilën flinte. ai u lut për falje dhe të mos e provonte më kurrë. nga ajo ditë e deri më tani, mendja është e qetë. burri im nuk i pëlqen asnjë grua tjetër në tokë. përveç meje dhe jam shumë e lumtur që i kam të gjitha për vete. kontaktoni me mesazh ne faqen e tij https://www.facebook.com/chiefjoel1"
01JJAWYTMGK148WX76XA1ZWGXE,0,"O i nderuar , e respektoj mendimin tend por kupto nje gje qe jemi ne rrjedhat e ngjarjeve qe ju as vet nuk i menagjoni se qka po ndodh.CEP MË CEP 118 !!! sa per dijeni .","o i nderuar , e respektoj mendimin tend por kupto nje gje qe jemi ne rrjedhat e ngjarjeve qe ju as vet nuk i menagjoni se qka po ndodh.cep më cep 118 !!! sa per dijeni ."
01JMHRAKSG59AH6V070T9C9C9V,0,"Sa te dy kta bashke Albini ka mar vetem,ketu shikohet ke vlerson populli!","sa te dy kta bashke albini ka mar vetem,ketu shikohet ke vlerson populli!"
01JN1JR20GBCVQA7T53NTGXQ7C,2,Qyyyyyp bre,qyyyyyp bre
01JN09ZB18BMWCFGYG5W229C4N,0,po qysh jo megavat e hajnis ika prodhu edhe te rrenave,po qysh jo megavat e hajnis ika prodhu edhe te rrenave
01JK46MNW0GDC39NDY9R34KZ65,0,Spe besoj hiq,spe besoj hiq
01JKHBNES06EBSHGQDNPRA0V90,2,E logat o logat  po ti skaki as burr as grue,e logat o logat po ti skaki as burr as grue
01JNP8X5RRYD9HK00SXQGCQRE8,0,Partition tjera ekan bae kualicionin se ekan pas Listen Serrbe harrove me than,partition tjera ekan bae kualicionin se ekan pas listen serrbe harrove me than
01JJ7XXQ6REBTYRBCQB3RTMX7B,0,me rendsii spo i mbledhiin pi shkupit njerzt ✌️,me rendsii spo i mbledhiin pi shkupit njerzt ✌️
01JMZ2WFP8SDB7Q5A4EP2QZR7Z,0,Haha me dy vet edhe ate ne krah te Rambos,haha me dy vet edhe ate ne krah te rambos
01JK8PXM202QKAM1K3QA1Y0806,1,"brevo, duhet me mbajt qendrim","bravo, duhet me mbajt qendrim"
01JMAEBGW8KHQBXRZ2KWPRKJMB,2,"Kur po e shof ne ket video dezerterin Xhelal Svelqa po me vjen te vjelle,90% e tyre që sot jan ulur aty,sot 17 vjet kan qen kunder keti shteti.
Kemi shku per lesh si popullë","kur po e shof ne ket video dezerterin xhelal svelqa po me vjen te vjelle,90% e tyre që sot jan ulur aty,sot 17 vjet kan qen kunder keti shteti. kemi shku per lesh si popullë"
01JKKXFE5GH55NDVCVKPJKK9YA,2,Dora ju thaft kush e voton ket lop,dora ju thaft kush e voton ket lop
01JJXNJFY023CP5GGQZV8VWZWA,2,Aa e run vetin ky ahmak,aa e run vetin ky ahmak
01JJQAMQ50V1TMHNEXJSRMGEFB,2,Sa done me ja ngrite rrogene vetite maspari e mose i rreje populline se populli eshte vedisu e ste besone mo,sa done me ia ngrite rrogene vetite maspari e mose i rreje populline se populli eshte vedisu e ste besone mo
01JJWEPQ50X14YG3MEF324F8SR,2,"Haj medet haj hala su mbushen mend  me i perkrah ata qe deri dje jan kan krah serbis , tmerr me kit popull te pa mend.","haj medet haj hala su mbushen mend me i perkrah ata qe deri dje jan kan krah serbis , tmerr me kit popull te pa mend."
01JJYQEFE06VHM7VWMTJV6HXJQ,0,Ka vi te Kuqe Ldk me VV,ka vi te kuqe ldk me vv
01JMD8TANGZV1DNS2W4C14NQW5,2,Hajnat e opozites kan dor ktu bashk me aleatet e tyre Antishqiptar,hajnat e opozites kan dor ktu bashk me aleatet e tyre antishqiptar
01JH96WR58MXN9BNP6MYHY4FE6,2,"Qfar biri i kurves po guri e mbyt edhe kalin kur ja hin ne vend te keq,po policit mir jaka ba edhe mipa mbyt mir ja kish ba,revolen ne brez e poma hin guri,nonen ja kisha qi ne goj.","çfarë bir i kurvës po guri e mbyt edhe kal kur ia hyn në vend të keq, po polici mirë ia ka bërë edhe mirëpa mbyt mirë ia kishte bërë, revolen në brez e po ma hyn guri, nënën ia kisha qi në gojë"
01JJARC1C0YHFKXQCPKX00MCS4,0,Veq mani ymyd.,veç mban ymyt
01JHXVGZF01RKZCH3AHB0C79F9,2,A dreqi dhembet t'i hangtē oj plakusha e patru!,dreqi dhëmbët t’i hajtë o plakë e pa tru
01JKQT6MXGKADCFHDB5ET5P35C,2,"Moj nana viqit qa ke prit
Ti mos shih endrra me sy qel se ti kurr me fitu","moj nënë viçi çfarë ke pritur, ti mos shiko ëndërr me sy hapur se ti kurrë me fituar"
01JKXPN5FGVXJRJ62PG0K9W2ZH,0,Bajram Tahiri tezak apot kujtohet se te pata  lut per koalicion ,bajram tahiri tezaku a po kujtohet se të pata lutur për koalicion
01JJ9XK8C8PRHB3Q75PWNZ4AV4,0,Hahaaaaahaaaa,hahaaa
01JNP76608E45YH5JSJC5956XG,0,Juka mal tagjija,ju ka ndalë tagjia
01JKS6Q5W8M117SGW79DZNFP6S,0,HAHAHAHAHAHAHA edhe qita enita speshoh ma Sabit Rrahmani Tu bo Poste O qazim Ti Kuje fitoren ti ndor eke Hahahahahah Tash msonu Me than O Elbert ti kuje krejt Kosoven n dor eke ,edhe këta e degjova e shpesh sabit rrahmani tu bërë postime o qazim ku je fitoren ti në dorë e ke. tash mësohu me thënë o elbert ti ku je krejt kosovën në dorë e ke
01JNNGWPYGXZCMY3JNYQN02W2C,2,"Kryezi edhe ti jeni te njejtit magare, njeri quan Partie Kriminale, ndersa ti thua Diaspora i blen Uniformen edhe nuk vjen
98 e 99 ?!!!","kryezi edhe ti jeni të njëjtët gomarë, njëri quan partinë kriminale, ndërsa ti thua diaspora e blen uniformën edhe nuk vjen ‘98 e ‘99?"
01JK8H2YDRFN7ME1ENWRP77V7Y,2,Ku Don me imarr at msusa se 20jet ju ikini punsu ata msusa oimjer Juve veq tjav Profit Listat serrbska pej beogradit otupi ikosoves,"ku doni me marrë atë mësues se 20 vjet ju i keni punësuar ata mësues të mjerë, juve veç t’ju japë profit listat serbe prej beogradit, turpi i kosovës"
